carat,cut,color,clarity,depth,table,price
0.7,Very Good,D,SI1,61.1,58,2768
0.76,Very Good,F,SI1,62.9,57,2770
0.72,Very Good,H,VVS2,60.3,56,2771
0.73,Very Good,F,SI1,61.7,60,2771
0.73,Very Good,H,VVS1,60.4,59,2772
0.8,Very Good,F,SI2,61,57,2772
1.17,Very Good,J,I1,60.2,61,2774
0.74,Very Good,F,VS2,61.3,61,2775
0.72,Very Good,G,VS2,63.7,56.4,2776
0.7,Very Good,D,VS1,62.7,58,2777
0.71,Very Good,F,VS2,62.8,57,2777
0.7,Very Good,E,SI1,59.9,63,2777
0.98,Fair,H,SI2,67.9,60,2777
0.7,Very Good,E,SI1,63.2,60,2777
0.73,Very Good,H,VS2,60.8,56,2779
0.7,Very Good,F,VS2,63.6,57,2780
0.72,Very Good,H,VS1,60.6,63,2782
0.53,Very Good,D,VVS2,57.5,64,2782
0.75,Very Good,D,SI2,63.1,58,2782
0.84,Fair,G,SI1,55.1,67,2782
0.72,Very Good,F,VS2,63,54,2784
0.79,Very Good,H,VS1,63.7,56,2784
0.72,Very Good,F,VS2,63.6,58,2787
0.7,Very Good,H,VVS1,60.5,60,2788
0.83,Very Good,I,VS1,61.1,60,2788
1.01,Fair,E,I1,64.5,58,2788
1.05,Very Good,J,SI2,63.2,56,2789
1.05,Fair,J,SI2,65.8,59,2789
0.87,Very Good,I,SI1,63.6,55.8,2791
0.79,Very Good,G,SI1,60.6,57,2793
0.7,Very Good,E,VS2,62.9,57,2793
0.79,Very Good,E,SI1,63.2,56,2794
0.71,Very Good,E,VS2,60.7,56,2795
0.81,Very Good,H,SI2,61.3,59,2797
0.81,Very Good,E,SI1,60.3,60,2797
0.7,Fair,G,VVS1,58.8,66,2797
1.01,Fair,E,SI2,67.4,60,2797
0.8,Very Good,H,VS2,63.4,60,2797
0.83,Very Good,E,SI2,58,62,2799
0.6,Very Good,G,IF,61.6,56,2800
0.9,Very Good,I,SI2,61.3,56,2800
0.83,Very Good,H,SI1,62.5,59,2800
0.76,Fair,G,VS1,59,70,2800
0.87,Very Good,G,SI2,59.9,58,2802
0.7,Very Good,F,VS2,62.9,58,2803
0.74,Very Good,E,SI1,63.5,56,2803
0.71,Very Good,G,VS1,63.5,55,2803
0.71,Very Good,E,VS2,63.8,58,2804
0.71,Very Good,E,VS2,64,57,2804
0.8,Very Good,E,SI2,62.5,56,2804
0.7,Very Good,D,SI1,62.3,58,2804
0.72,Very Good,F,VS1,62.2,58,2804
0.9,Fair,I,SI1,67.3,59,2804
0.57,Fair,E,VVS1,58.7,66,2805
0.74,Fair,F,VS2,61.1,68,2805
0.81,Very Good,G,SI1,62.5,60,2806
0.75,Very Good,H,VVS1,60.6,58,2806
0.71,Very Good,F,VS1,62.2,58,2807
0.71,Very Good,F,VS1,60,57,2807
0.8,Very Good,H,VS2,62.8,57,2808
0.7,Very Good,F,VS1,62,57,2808
1,Fair,G,I1,66.4,59,2808
0.75,Very Good,G,VS2,63.4,56,2808
0.73,Very Good,D,SI1,63.1,57,2808
0.81,Very Good,F,SI1,63.1,59,2809
1.2,Fair,F,I1,64.6,56,2809
0.7,Very Good,F,VS1,61.8,56,2810
0.7,Very Good,F,VS1,59.9,60,2810
0.75,Very Good,F,SI1,63.4,58,2811
0.83,Very Good,D,SI1,63.5,54,2811
1,Fair,J,VS2,65.7,59,2811
0.99,Fair,I,SI2,68.1,56,2811
0.7,Very Good,G,VS1,63,60,2812
0.7,Very Good,F,VS2,59.5,58,2812
0.7,Very Good,F,VS2,61.7,58,2812
0.32,Very Good,I,SI1,63.1,56,554
0.3,Very Good,H,SI1,63.3,56,554
0.3,Very Good,H,SI1,63.4,60,554
0.29,Very Good,E,VS1,61.9,55,555
0.29,Very Good,E,VS1,62.4,55,555
0.31,Very Good,F,SI1,61.8,58,555
0.43,Very Good,E,I1,58.4,62,555
0.32,Very Good,F,VS2,61.4,58,556
0.7,Very Good,F,VS2,62.3,58,2812
0.7,Very Good,F,VS2,60.9,61,2812
0.99,Fair,J,SI1,55,61,2812
0.84,Very Good,E,SI1,63.4,55,2813
0.55,Very Good,D,VVS1,61.5,56,2815
0.76,Very Good,F,SI2,58.5,62,2815
0.9,Fair,J,VS2,65,56,2815
0.95,Fair,F,SI2,56,60,2815
0.96,Fair,E,SI2,53.1,63,2815
0.78,Very Good,I,VVS2,61.4,56,2816
1,Fair,H,SI2,65.3,62,2818
0.72,Very Good,G,VS1,63.8,58,2819
0.73,Very Good,E,SI1,63.2,58,2821
0.79,Very Good,D,SI2,62.8,59,2823
0.9,Fair,H,SI2,65.8,54,2823
0.73,Very Good,G,VS1,62,57,2825
0.91,Fair,H,SI2,61.3,67,2825
0.7,Very Good,D,VS2,63.3,56,2826
0.9,Very Good,I,SI2,63.5,56,2826
0.7,Very Good,D,SI1,62.3,59,2827
0.71,Very Good,E,VS2,62.7,59,2830
0.77,Very Good,H,SI1,61.7,56,2830
0.76,Very Good,E,SI2,60.8,60,2831
0.72,Very Good,F,VS2,62.5,58,2832
0.91,Very Good,I,SI2,62.8,61,2832
0.8,Very Good,I,VS2,62,58,2833
0.56,Very Good,E,IF,61,59,2833
0.7,Very Good,D,VS2,59.6,61,2833
0.51,Very Good,D,VVS1,59.9,58,2834
0.9,Very Good,J,SI1,63.4,54,2834
0.9,Fair,G,SI2,65.3,59,2834
0.82,Very Good,H,SI1,60.7,56,2836
0.76,Very Good,H,SI1,60.9,55,2838
0.82,Fair,F,SI1,64.9,58,2838
0.7,Very Good,E,SI1,63.5,59,2838
0.74,Very Good,E,SI1,60,57,2839
0.77,Very Good,H,VS1,61,60,2840
0.75,Very Good,F,SI2,59.8,56,2840
0.71,Very Good,D,VS1,63.4,55,2841
0.73,Very Good,D,SI1,63.9,57,2841
0.82,Very Good,F,SI2,59.7,57,2841
0.95,Fair,G,SI1,66.7,56,2841
0.7,Very Good,E,VS2,60.2,62,2843
0.7,Very Good,E,VS2,62.7,58,2843
0.71,Very Good,E,VS2,59.4,58,2843
0.81,Very Good,F,SI2,63.2,58,2843
0.71,Very Good,D,SI1,61.5,58,2843
0.73,Very Good,F,VS1,61.8,59,2843
0.73,Very Good,E,SI1,57.7,61,2844
0.7,Very Good,E,VS1,62,59,2844
0.7,Very Good,E,VS2,61.8,59,2845
0.7,Very Good,E,VS2,58.9,60,2845
0.72,Very Good,F,VS1,60.2,59,2846
1.01,Fair,H,SI2,65.4,59,2846
0.84,Very Good,H,SI1,61.2,57,2847
0.7,Very Good,G,VVS2,62.9,59,2848
0.75,Fair,D,SI2,64.6,57,2848
0.74,Very Good,E,VS1,63.1,58,2849
0.7,Very Good,E,VS2,61,60,2850
1.2,Very Good,H,I1,63.1,60,2850
0.8,Very Good,F,SI1,63.4,57,2851
0.87,Very Good,F,SI2,61,63,2851
0.58,Very Good,E,IF,60.6,59,2852
0.91,Very Good,I,SI1,63.5,57,2852
0.78,Very Good,H,VS1,61.9,57.1,2854
0.7,Very Good,E,VS1,62.4,56,2854
0.91,Fair,J,VS2,64.4,62,2854
0.91,Fair,J,VS2,65.4,60,2854
0.91,Fair,H,SI1,65.8,58,2854
0.73,Very Good,F,VS2,62.5,57,2855
0.98,Fair,E,SI2,53.3,67,2855
1.02,Fair,I,SI1,53,63,2856
1,Fair,G,SI2,67.8,61,2856
1,Fair,I,SI1,67.9,62,2856
0.34,Very Good,G,VS2,59.6,62,556
1,Fair,H,SI2,66.1,56,2856
0.9,Very Good,G,SI2,63.1,58,2857
0.81,Very Good,F,SI1,61.3,57,2858
0.81,Very Good,F,SI1,61.7,57,2858
0.71,Very Good,E,VS2,63.5,59,2858
0.9,Fair,G,SI2,64.5,56,2858
0.71,Fair,D,VS2,56.9,65,2858
0.75,Fair,F,VS1,55.8,70,2859
0.71,Very Good,F,VS2,61.3,61,2860
0.9,Very Good,J,SI2,63.6,58,2860
0.62,Fair,F,IF,60.1,61,2861
0.7,Very Good,D,SI1,62.5,55,2862
0.8,Very Good,F,SI1,62.6,58,2862
0.8,Very Good,D,SI2,62.5,59,2862
0.71,Very Good,F,VVS1,63.2,60,2862
0.7,Very Good,E,VS2,58.7,63,2862
1.01,Fair,E,SI2,67.6,57,2862
0.83,Very Good,I,VS2,61.6,58,2865
0.56,Very Good,D,VVS1,62,56,2866
0.56,Very Good,D,VVS1,61.8,55,2866
0.71,Very Good,H,VVS1,62.9,57,2867
0.96,Fair,F,SI2,68.2,61,2867
0.75,Very Good,E,SI1,63.1,56,2868
0.73,Very Good,E,SI1,61.3,58,2871
0.75,Very Good,D,SI1,60.7,55,2872
0.7,Very Good,G,SI2,59,62,2872
0.7,Very Good,D,SI1,60.2,60,2872
0.72,Very Good,E,VS2,58.3,57,2872
0.76,Very Good,F,VS2,62,58,2873
0.77,Very Good,E,SI1,63.2,58,2873
1,Fair,H,SI1,65.5,62,2873
0.9,Fair,I,SI1,65.7,58,2873
0.9,Fair,I,SI1,65.3,61,2873
0.9,Fair,I,SI1,65.8,56,2873
1,Fair,H,SI2,67.7,60,2875
1,Fair,J,VS1,65.5,55,2875
1,Fair,I,SI1,66.3,61,2875
1,Fair,H,SI2,69.5,55,2875
0.72,Very Good,H,VS1,62.2,54,2877
0.79,Very Good,F,SI1,62.8,59,2878
0.79,Very Good,F,SI1,62.7,60,2878
0.79,Very Good,D,SI2,59.7,58,2878
0.73,Very Good,F,SI1,61.4,56,2879
0.72,Fair,F,VS1,56.9,69,2879
0.92,Very Good,J,SI2,58.7,61,2880
0.74,Very Good,D,SI1,63.9,57,2880
0.71,Very Good,E,VS2,60,59,2881
0.7,Very Good,H,IF,62.8,56,2882
0.88,Fair,F,SI1,56.6,65,2882
0.9,Fair,H,SI2,65,61,2883
1.03,Fair,I,SI2,65.3,55,2884
0.84,Very Good,F,SI1,63.8,57,2885
0.8,Fair,E,SI1,56.3,63,2885
0.9,Fair,D,SI2,66.9,57,2885
0.71,Very Good,D,SI1,62.4,54,2887
0.72,Very Good,G,VVS2,62.5,58,2889
0.7,Very Good,E,VS2,63.5,54,2889
0.7,Very Good,F,VS1,62.2,58,2889
0.71,Very Good,F,VS1,62.8,56,2889
0.71,Very Good,E,VS2,61.2,58,2891
1.19,Fair,H,I1,65.1,59,2892
0.71,Very Good,F,VS1,62.6,55,2893
0.82,Very Good,G,SI2,62.5,56,2893
0.7,Very Good,H,VVS1,59.2,60,2893
0.82,Very Good,G,SI1,63.4,55,2893
0.81,Very Good,E,SI2,62.4,57,2894
0.71,Very Good,G,VS2,60.9,56,2895
0.7,Very Good,F,VS1,61.8,59,2895
0.74,Very Good,G,VS1,59.8,58,2896
0.77,Very Good,G,VS2,61.3,60,2896
0.77,Very Good,G,VS2,58.3,63,2896
1.01,Very Good,I,I1,63.1,57,2896
0.6,Very Good,D,VVS2,60.6,57,2897
0.7,Very Good,F,SI1,61.9,58,2900
0.71,Fair,E,VS2,64.6,59,2902
0.79,Very Good,F,SI1,63,54,2904
0.79,Very Good,D,SI2,62.8,57,2904
0.7,Very Good,E,VS1,58.4,59,2904
0.7,Very Good,G,VVS2,59.3,62,2905
0.7,Very Good,G,VVS2,63.4,59,2905
0.7,Very Good,G,VVS2,63.3,59,2905
0.71,Very Good,G,VS2,62.1,58,2905
0.86,Very Good,I,VS1,61.2,58,2905
0.91,Very Good,J,SI1,63.5,58,2905
0.74,Very Good,D,VS2,62.4,57,2906
0.31,Very Good,I,VS2,63.2,55,558
0.31,Very Good,I,VS2,63.1,54,558
0.82,Very Good,H,SI1,63.6,56,2908
0.71,Very Good,D,VS1,62.9,57,2910
1,Fair,H,SI2,65.2,54,2912
1,Fair,I,SI1,66,56,2912
1,Fair,H,SI2,67,55,2912
0.7,Very Good,D,VS2,60.7,60,2913
0.71,Very Good,D,SI1,61.7,56,2913
0.8,Very Good,F,SI1,63.5,55,2914
0.83,Very Good,I,VS2,62,55,2915
0.77,Very Good,G,SI1,63.6,57,2915
0.8,Very Good,G,SI2,62,55,2915
0.73,Very Good,H,VS1,60.8,57,2916
0.71,Very Good,F,VS2,59.5,58,2918
0.8,Very Good,H,VS2,61.2,53,2918
0.83,Very Good,D,SI2,63.1,57,2918
0.72,Very Good,G,VS1,60.5,57,2919
0.8,Very Good,H,SI1,62.5,56,2919
0.74,Very Good,H,VVS2,60.5,60,2921
0.71,Very Good,E,VS2,59.9,59,2921
0.71,Very Good,E,VS2,60.7,60,2921
0.71,Very Good,D,SI1,60.1,60,2921
0.9,Fair,I,VS2,64.1,66,2921
0.71,Very Good,E,VS2,63.7,58,2922
0.71,Very Good,E,VS2,63.3,59,2922
0.68,Very Good,F,VS1,59.7,57,2922
0.72,Very Good,E,VS2,63,57,2923
0.72,Very Good,E,VS2,63.2,58,2923
0.7,Very Good,E,SI1,61.8,59,2923
0.75,Very Good,E,SI1,62.3,58,2923
0.75,Very Good,E,SI1,61.5,58,2923
0.8,Very Good,D,SI1,58.2,63,2925
0.7,Very Good,F,VS1,64.5,58,2925
0.51,Very Good,E,IF,63.3,58,2925
0.77,Very Good,H,VS1,63.3,57,2927
0.7,Very Good,F,VS2,61.3,54,2928
0.7,Very Good,D,VS2,60.8,59,2928
0.74,Very Good,E,SI1,61,58,2929
0.8,Very Good,G,VS2,61.1,57,2929
0.71,Very Good,E,VS2,61.3,60,2930
0.9,Very Good,E,SI2,58.7,63,2930
0.9,Fair,E,SI2,65,58,2930
0.7,Very Good,G,VVS2,60.8,57,2931
0.72,Very Good,F,VS2,63.3,57,2931
0.7,Very Good,F,VVS2,63.2,58,2932
0.72,Very Good,G,VVS2,62.2,57,2933
0.59,Very Good,D,VVS2,60.6,59,2933
1.17,Fair,I,I1,65.4,62,2935
0.7,Very Good,G,VVS2,61.8,60,2936
0.81,Very Good,H,SI1,60.2,58,2936
0.71,Very Good,H,VVS1,62.7,57,2938
0.71,Very Good,H,VVS1,62.7,59,2938
0.73,Very Good,F,VS2,62.7,58,2939
0.73,Very Good,G,VS1,60.7,57,2939
0.83,Very Good,F,SI2,61.9,56,2939
1.24,Very Good,J,I1,61.9,55,2940
0.7,Very Good,F,VVS2,62.6,59,2940
0.75,Fair,E,VS2,56,67,2940
0.79,Very Good,E,SI2,59.2,59,2941
0.81,Very Good,F,SI2,62.7,58,2942
1.03,Fair,G,SI2,65.7,59,2942
1.01,Fair,G,SI2,67.1,59,2942
0.74,Very Good,H,VVS2,61.3,58,2944
0.57,Very Good,D,VVS1,60.4,57,2945
0.79,Very Good,H,VS2,61.5,55,2945
0.78,Very Good,D,SI1,62.4,58,2945
0.71,Very Good,E,VS1,63.3,59,2946
0.71,Very Good,E,VS1,62.7,57,2946
0.78,Very Good,H,VS1,61.7,56,2947
0.9,Fair,I,SI2,66.4,60,2948
1,Fair,E,SI2,65.8,58,2948
0.72,Very Good,E,VS2,63,56,2949
0.99,Fair,J,SI1,58,67,2949
0.81,Very Good,I,VS1,62.7,58,2950
0.72,Very Good,D,VS1,62.7,58,2951
0.7,Very Good,E,VS2,62.4,58,2952
0.7,Very Good,E,VS2,63.4,59,2952
0.7,Very Good,E,VS2,61.8,59,2952
0.7,Very Good,E,VS1,61.3,60,2952
0.8,Very Good,H,VS2,59.1,59,2953
0.71,Very Good,E,VS2,59.6,60,2954
0.82,Very Good,D,SI1,63.1,58,2954
0.7,Very Good,F,VS2,62.4,57,2956
0.74,Very Good,H,VS1,61.4,56,2956
0.74,Very Good,H,VS1,62.3,56,2956
0.91,Very Good,J,SI1,62.8,59,2956
0.98,Fair,F,SI2,61.6,66,2958
0.56,Very Good,D,VVS1,60.1,58,2959
0.7,Very Good,F,VS1,60.1,58,2959
0.74,Fair,G,VVS2,65.2,58,2959
0.71,Very Good,H,VVS2,61.8,56,2960
0.7,Very Good,D,VS2,63,56,2960
0.77,Very Good,H,VS1,62.8,58,2961
0.91,Very Good,E,SI2,58.6,63,2963
0.71,Very Good,E,VS2,62.9,57,2964
0.71,Very Good,E,SI1,62.9,55,2964
0.71,Very Good,D,SI1,59.4,59,2964
0.7,Fair,E,VS1,64.5,57,2964
0.9,Fair,F,SI2,65.7,59,2964
0.9,Fair,J,VS1,65.4,60,2964
1,Fair,G,SI1,65.7,54,2964
1.5,Fair,H,I1,65.6,54,2964
0.9,Fair,J,VS1,64.6,58,2964
0.73,Very Good,G,VS2,62.1,59,2966
0.85,Very Good,E,SI2,63.1,58,2966
0.7,Very Good,E,VS1,61.3,56,2967
0.7,Very Good,E,VS1,61.5,56,2967
0.86,Very Good,G,SI2,62.6,56,2967
0.3,Very Good,H,VVS2,62,56,559
0.31,Very Good,G,VS2,62.6,56,559
0.31,Very Good,G,VS2,61.4,55,559
0.31,Very Good,G,VS2,60.9,57,559
0.25,Very Good,E,VVS2,62,56,560
0.25,Very Good,E,VVS1,61.5,56,560
0.25,Very Good,F,IF,61.5,56,560
0.27,Very Good,F,IF,60.4,58,560
0.75,Very Good,E,SI1,60.2,60,2968
1.13,Fair,H,I1,64.8,59,2968
0.72,Very Good,G,VS1,60.6,56,2970
0.91,Fair,F,SI1,64.9,57,2971
0.81,Very Good,E,SI1,63.8,58,2972
0.9,Very Good,H,SI2,63.1,60,2972
0.9,Very Good,J,SI2,63.3,59,2973
0.81,Very Good,E,SI1,59.5,60,2973
1,Fair,D,SI2,69.3,58,2974
0.7,Very Good,F,VS1,62.1,57,2975
0.82,Very Good,E,SI2,63.3,56,2975
0.71,Very Good,G,VVS2,60.8,58,2977
0.9,Fair,E,SI2,65.8,59,2982
0.71,Very Good,G,VS1,60.8,63,2982
0.9,Very Good,J,VS2,63.1,57,2984
0.7,Very Good,D,VS2,63.1,56,2985
0.77,Very Good,G,VS1,62.8,58,2986
0.6,Very Good,F,IF,60.1,54,2988
1.03,Very Good,G,I1,63.2,58,2988
0.76,Very Good,G,VS2,62.1,54,2990
0.72,Very Good,E,VS2,62.9,57,2990
0.7,Very Good,E,VS2,62.8,56,2992
1.06,Fair,J,SI2,61,66,2992
0.69,Very Good,F,VVS2,61.5,60,2993
0.87,Very Good,H,SI2,61,56,2993
0.75,Very Good,E,SI1,63.6,56,2993
1.01,Fair,G,SI1,65.1,57,2993
0.71,Very Good,F,VS2,59.6,56,2994
0.71,Very Good,G,VS1,59.3,55,2994
0.81,Very Good,G,VS2,63.1,58,2994
0.91,Fair,F,SI2,65.3,51,2996
0.88,Very Good,I,VS1,63.3,55,2996
1.01,Fair,J,VVS2,66,56,2998
0.85,Fair,G,VS1,57.7,67,2998
0.7,Very Good,D,VS2,59.7,59,2999
0.73,Very Good,G,VS1,62.4,58.1,2999
1.02,Fair,H,I1,61.5,60,2999
0.9,Very Good,I,SI2,62.5,58,3001
0.72,Very Good,D,SI1,61.5,58,3001
0.7,Very Good,D,VS1,63.4,59,3001
0.75,Very Good,H,VVS2,60.6,57,3002
0.83,Very Good,E,SI1,62.1,58,3002
0.77,Very Good,E,SI2,60.4,58,3002
0.73,Fair,F,VS1,58.6,66,3002
1.01,Fair,D,SI2,64.6,56,3003
0.75,Very Good,E,SI1,61.1,59,3005
0.8,Very Good,H,SI1,63,57,3005
0.91,Very Good,I,SI2,63.4,58,3006
0.91,Very Good,G,SI2,62.8,59,3006
0.71,Very Good,E,VS1,63.2,60,3006
0.91,Very Good,F,SI1,63.1,60,3007
0.7,Very Good,D,VS1,60.4,58,3008
0.71,Very Good,E,VS1,63.7,58,3009
0.71,Very Good,E,VS1,62.1,57,3009
0.71,Very Good,E,VS1,63.4,58,3009
0.74,Very Good,E,SI1,61.3,58,3009
0.83,Very Good,F,SI1,62.1,58,3010
0.73,Very Good,G,VS1,60.7,55,3011
1,Very Good,G,I1,62.5,62,3011
1.2,Fair,J,I1,64.9,59,3011
1.2,Fair,I,I1,62.2,66,3011
1.2,Fair,I,I1,66.2,55,3011
1,Fair,E,SI2,55.4,62,3011
0.78,Very Good,G,VS2,61.3,60,3012
0.8,Very Good,F,SI1,63.9,56,3013
0.71,Very Good,F,VS1,62.1,53,3013
0.73,Very Good,D,SI1,60.8,59,3014
0.84,Very Good,G,SI2,62.8,57,3015
0.91,Very Good,E,SI2,58.6,63,3015
0.72,Very Good,D,VS2,62.1,59,3016
0.7,Very Good,G,VS1,60.1,60,3017
0.71,Very Good,F,VS1,61.8,60,3017
1.12,Very Good,G,I1,61.2,63,3017
1.03,Very Good,G,I1,60.8,57,3018
1.02,Very Good,F,SI2,63.3,56,3018
0.73,Very Good,F,SI1,61.3,56,3023
0.9,Very Good,J,VS2,63.1,59,3024
0.9,Fair,H,SI1,65.6,57,3024
0.72,Very Good,G,VS1,60.1,63,3024
0.65,Very Good,D,VVS2,57.7,60,3025
0.7,Very Good,G,VS2,61.8,55,3026
1.02,Fair,J,SI1,66.8,55,3027
1,Fair,G,SI2,64.9,57,3027
0.7,Very Good,F,VVS2,58.5,60,3028
0.77,Fair,F,VS1,66.8,57,3031
1.01,Very Good,H,SI2,63.5,55,3032
0.71,Very Good,D,VS2,63,57,3033
0.7,Very Good,D,VS2,63.2,60,3033
0.92,Fair,I,VS2,64.4,58,3033
0.72,Very Good,E,VS2,63.8,57,3035
0.8,Very Good,H,VVS2,62.9,56,3036
0.7,Very Good,G,VVS1,63.3,57,3037
0.32,Very Good,G,VS2,60.2,57,561
0.32,Very Good,H,VS1,63,57,561
0.32,Very Good,H,VS1,63,57,561
0.32,Very Good,H,VS1,61.7,58,561
0.32,Very Good,E,SI1,60.1,60,561
0.32,Very Good,G,VS2,62.6,58,561
0.7,Very Good,G,VVS2,61,59,3039
0.7,Fair,F,VS1,64.9,59,3039
0.77,Very Good,D,SI1,62.1,58,3040
0.72,Very Good,G,VVS2,60.4,58,3043
0.77,Very Good,F,SI1,59.6,60,3044
0.71,Very Good,F,VS1,62.2,55,3045
0.71,Very Good,F,VS1,61.2,57,3045
0.78,Very Good,F,SI1,62.4,58,3045
0.71,Very Good,D,VS2,62.8,56,3045
0.75,Very Good,D,SI1,59.7,62,3046
0.79,Very Good,F,SI1,61.5,58,3047
0.73,Fair,D,VS1,66,54,3047
0.82,Very Good,F,SI1,63.9,56.9,3048
0.75,Very Good,D,SI1,61.8,57,3048
0.72,Very Good,E,VS1,63.1,56,3048
0.62,Very Good,D,VVS2,58.1,63,3050
0.8,Very Good,E,SI1,63.1,56,3050
0.66,Very Good,G,IF,60.5,59,3051
0.7,Very Good,D,VS2,62.5,55,3052
0.7,Very Good,G,VVS2,60.2,61,3052
1.03,Fair,G,SI1,66.1,56,3052
0.7,Very Good,D,VS2,62.6,58,3053
0.71,Very Good,E,VS2,59.9,59,3053
0.7,Very Good,F,VS1,62.8,59,3053
0.79,Very Good,E,SI1,63.2,56,3053
0.7,Very Good,D,VS1,62.9,60,3054
1.01,Fair,I,SI2,66.1,58,3054
1.01,Fair,I,SI2,68.1,59,3054
0.78,Very Good,E,SI1,60.9,57,3055
0.65,Very Good,D,VVS2,59.9,58,3056
0.9,Very Good,I,SI2,61.5,61,3057
0.92,Very Good,D,SI2,60.2,61,3057
0.82,Fair,H,SI1,64.9,58,3057
0.72,Very Good,F,VS1,62.1,59,3059
0.81,Very Good,E,SI2,62.9,56,3059
0.71,Very Good,E,VS1,61.8,56,3059
1.03,Very Good,G,I1,62.4,57,3060
0.74,Very Good,H,VVS1,62.4,57,3061
0.7,Very Good,E,VS1,61.1,55,3061
0.71,Very Good,E,VS1,63.3,56,3061
0.9,Very Good,J,SI1,63.8,56,3061
0.71,Fair,G,VVS1,62.8,57,3062
0.9,Fair,F,SI2,65.7,63,3062
0.7,Very Good,E,VS1,62.2,57,3063
0.7,Very Good,E,VS1,62.5,56,3063
0.71,Very Good,E,VS1,63.3,59,3064
0.72,Very Good,E,VS2,63,58,3065
0.85,Very Good,D,SI2,61.4,60,3066
0.73,Very Good,E,VS2,63.1,55,3066
0.7,Very Good,E,VS1,63.4,60,3068
0.85,Very Good,I,VS2,60,57,3070
0.8,Very Good,G,SI1,62.9,56,3070
0.8,Very Good,E,SI2,62.6,59,3070
0.8,Very Good,G,SI1,62.1,56,3071
0.7,Very Good,G,VVS1,63.1,56,3073
0.79,Very Good,F,SI1,58.5,61,3073
0.78,Very Good,G,VS2,61.7,58,3074
0.9,Fair,I,VVS2,67,56,3074
0.72,Very Good,D,VS2,61.8,58,3075
0.72,Very Good,D,VS2,62.6,59,3075
0.71,Very Good,F,SI2,61.4,56,3075
0.7,Very Good,D,SI1,62.4,57,3075
0.79,Very Good,E,SI1,60.4,59,3077
0.79,Very Good,E,SI1,63.7,58,3077
0.71,Fair,D,VS2,64.7,58,3077
0.91,Fair,D,SI2,62.5,66,3079
1,Very Good,E,I1,62.3,58,3080
1,Fair,J,VS1,66.6,57,3080
0.79,Very Good,D,SI2,63.2,57,3081
0.8,Very Good,F,SI1,63.5,58,3082
0.91,Very Good,H,SI1,63.4,55,3082
0.91,Very Good,J,VS1,63.5,55,3082
0.72,Very Good,F,VS1,63.2,57,3083
0.71,Very Good,D,VS2,61.8,55,3084
0.72,Very Good,E,SI2,61,59,3084
0.9,Very Good,E,SI2,63.4,62,3084
0.9,Fair,E,SI2,64.5,55,3084
0.9,Fair,E,SI2,65.8,58,3084
